ind,age.transition,number.change,type.change,behavior
3822015,HF,78981,no,d
3822015,HF,21801,lose,d
3822015,HF,81312,gain,d
362014,HF,49673,no,d
362014,HF,55234,lose,d
362014,HF,18063,gain,d
362014,FA,84476,no,d
362014,FA,13716,lose,d
362014,FA,24778,gain,d
492014,HF,85787,no,n
492014,HF,17569,lose,n
492014,HF,19614,gain,n
492014,FA,91616,no,n
492014,FA,11429,lose,n
492014,FA,19925,gain,n
1632014,HF,83916,no,d
1632014,HF,26140,lose,d
1632014,HF,12914,gain,d
1632014,FA,82913,no,d
1632014,FA,14396,lose,d
1632014,FA,25661,gain,d
2902015,HF,90390,no,n
2902015,HF,12008,lose,n
2902015,HF,20572,gain,n
2902015,FA,86556,no,n
2902015,FA,24957,lose,n
2902015,FA,11457,gain,n
152014,HF,92735,no,n
152014,HF,15309,lose,n
152014,HF,14926,gain,n
152014,FA,81494,no,n
152014,FA,28463,lose,n
152014,FA,13013,gain,n
